new_ID,Energy Star Certification 2020,Energy Star Certification 2019,Energy Star Certification 2018
107309_2018,,2019,
105430_2018,,,2018
117563_2018,,,2018
121798_2018,,,2018
105250_2018,,,2018
135982_2018,,,2018
100412_2018,,,2018
105154_2018,,,2018
105259_2018,,2019,2018
124903_2018,,,2018
111221_2018,,,2018
100412_2019,,2019,2018
100431_2019,,2019,2018
100863_2019,,2019,
101821_2019,,2019,2018
101823_2019,,2019,2018
101824_2019,,2019,2018
101841_2019,2020,2019,2018
105067_2019,,2019,
105111_2019,,2019,
105154_2019,,,2018
105168_2019,,2019,
105250_2019,,2019,2018
105258_2019,,2019,
105259_2019,2020,2019,2018
105276_2019,,2019,
105323_2019,,2019,
105420_2019,,2019,
105430_2019,,2019,2018
105466_2019,,2019,
105469_2019,,2019,2018
105617_2019,,2019,
105666_2019,,2019,
107309_2019,,2019,2018
107662_2019,2020,,
109742_2019,,2019,
111115_2019,2020,2019,2018
111126_2019,,2019,2018
111129_2019,,2019,2018
111130_2019,,2019,2018
111221_2019,2020,2019,2018
111358_2019,,,2018
117540_2019,,2019,2018
117563_2019,,2019,2018
119057_2019,2020,2019,
121798_2019,,2019,2018
124866_2019,,2019,
124903_2019,,,2018
125037_2019,2020,,
125350_2019,,2019,
135982_2019,,2019,2018
100412_2020,2020,2019,2018
100427_2020,2020,,
100431_2020,2020,2019,2018
100863_2020,,2019,
101821_2020,2020,2019,2018
101823_2020,2020,2019,2018
101824_2020,2020,2019,2018
101841_2020,2020,2019,2018
105067_2020,,2019,
105111_2020,2020,2019,
105122_2020,2020,,
105154_2020,,,2018
105168_2020,2020,2019,
105228_2020,2020,,
105237_2020,2020,,
105250_2020,2020,2019,2018
105258_2020,2020,2019,
105259_2020,2020,2019,2018
105276_2020,,2019,
105323_2020,2020,2019,
105420_2020,2020,2019,
105430_2020,2020,2019,2018
105466_2020,2020,2019,
105469_2020,,2019,2018
105617_2020,2020,2019,
105666_2020,2020,2019,
107096_2020,2020,,
107257_2020,2020,,
107309_2020,2020,2019,2018
107662_2020,2020,,
109742_2020,2020,2019,
109769_2020,,2019,
109770_2020,,2019,
109772_2020,,2019,
109789_2020,2020,,
110337_2020,2020,,
111115_2020,2020,2019,2018
111126_2020,2020,2019,2018
111129_2020,2020,2019,2018
111130_2020,2020,2019,2018
111221_2020,2020,2019,2018
111370_2020,2020,,
112311_2020,2020,,
112312_2020,2020,,
114361_2020,2020,,
114377_2020,2020,,
114378_2020,2020,,
117540_2020,2020,2019,2018
117563_2020,2020,2019,2018
119057_2020,2020,2019,
121798_2020,2020,2019,2018
124866_2020,,2019,
124903_2020,,,2018
125037_2020,2020,,
125350_2020,2020,2019,
135982_2020,,2019,2018
